name	layer	pos	shape	n_bytes	file	sha256
model.input_embed	-1	0	1024x1x1x1	4096	pos0/model.input_embed.f32	0f2822b1d8f095dda46d1b1c56382d69fe0b941be4f54f9619610de1b68f5800
attn_norm-0	0	0	1024x1x1x1	4096	pos0/attn_norm-0.f32	7fddf79018f18b6a8efe4d4305b8c552d45f257d584fe7cabb71ba8944bbe098
conv_output_silu-0	0	0	6144x1x1x1	24576	pos0/conv_output_silu-0.f32	7b60c34139979b73d8452820e7758300d596c03137cbb2e7c9511ce980d74d93
q_conv_predelta-0	0	0	128x16x1x1	8192	pos0/q_conv_predelta-0.f32	17a78107cda3c15bb6e2638ab7f78c70c55095531399ce60a8dc0222dafb4410
k_conv_predelta-0	0	0	128x16x1x1	8192	pos0/k_conv_predelta-0.f32	e38c231c7a5815c78261f50ac0dd48f70ea3e867c212993409295d2f4068b72e
v_conv_predelta-0	0	0	128x16x1x1	8192	pos0/v_conv_predelta-0.f32	2137354faac5e733662b88df392247ebe1f7002e41bed3e0afa00b95aa5997dd
a_softplus-0	0	0	16x1x1x1	64	pos0/a_softplus-0.f32	44d1c89a03d66c1f452b946e142a9e9ad1e080f1c007fb777b4380ccb922b445
gate-0	0	0	16x1x1x1	64	pos0/gate-0.f32	68f2f49cebb0ade93cff238040394af61e3533000984e7e6a87eff81beb7461a
beta_sigmoid-0	0	0	1x16x1x1	64	pos0/beta_sigmoid-0.f32	5024bb72aab2304541af693ec4471a80c0313ae6b5bf8686dc08d3a209ee0970
state_predelta-0	0	0	128x128x16x1	1048576	pos0/state_predelta-0.f32	30e14955ebf1352266dc2ff8067e68104607e750abb9d3b36582b8af909fcb58
new_state-0	0	0	128x128x16x1	1048576	pos0/new_state-0.f32	23e95f39cd8da2bf9a811be16a89e0ad16f73652105e96cf71194d149e70242c
attn_output-0	0	0	128x16x1x1	8192	pos0/attn_output-0.f32	1f55efb7e44af76cb0ddb3f12196c5660eb3ad7ea6c0252ed1e32575bbae6ba5
z-0	0	0	2048x1x1x1	8192	pos0/z-0.f32	65705cfd6bb19795a3eabdd7ec1cbd30d7a4e3a7c05ff74ba5b9e1404898838a
final_output-0	0	0	2048x1x1x1	8192	pos0/final_output-0.f32	3ed0766cded141f093f460eddaea1f2222fe6b96a6f56e67870582bad7ac442a
linear_attn_out-0	0	0	1024x1x1x1	4096	pos0/linear_attn_out-0.f32	b7cb76989a84587466b797db8c1578d01e8958b3ac859676f2bc0e5ec81ae462
attn_residual-0	0	0	1024x1x1x1	4096	pos0/attn_residual-0.f32	157e31dca0955a7e4d14c517e328db402818385cd600ff7accd73813f8eb4fe4
attn_post_norm-0	0	0	1024x1x1x1	4096	pos0/attn_post_norm-0.f32	2030e104ddfdf22a4e52f6c31e81ec3e42f0a558398d769719a25d29de7de1b7
ffn_out-0	0	0	1024x1x1x1	4096	pos0/ffn_out-0.f32	f6e0b824cd13995123c633b8fba16abc9bde0fcc6b8b3cace582d2d4e55e9069
l_out-0	0	0	1024x1x1x1	4096	pos0/l_out-0.f32	63c6f57cd2831f1e3bc5e7337d24f2dd3a6bdc20e489bc3356d3285c698698f5
attn_norm-1	1	0	1024x1x1x1	4096	pos0/attn_norm-1.f32	b6129a19ef544e3434ed6ad4df51100790e83deac22abeb516c01f9020b28921
conv_output_silu-1	1	0	6144x1x1x1	24576	pos0/conv_output_silu-1.f32	59df7303d0088691ec1fbd1aa0384d83d3ee9e009170bb29b82c59905c2a4e60
